"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"            Settlement area"	"lan_settl"	"dataset"	"04.05.2020"	"08.02.2021"	"2009"	"2018"	
"        Non EU countries"	"noneu"	"folder"	" "	" "	" "	" "	
"            Southern European Neighbourhood Policy countries (ENP-South)"	"enps"	"folder"	" "	" "	" "	" "	
"                Economy and finance"	"enps_ecf"	"folder"	" "	" "	" "	" "	
"                    National accounts"	"enps_na"	"folder"	" "	" "	" "	" "	
"                        GDP, main aggregates and economic indicators"	"enps_nama_gdp"	"folder"	" "	" "	" "	" "	
"                            Gross domestic product at market prices"	"enps_nama_10_gdp"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                            Gross domestic product at market prices by expenditure"	"enps_nama_10_gdp_ea"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                        Gross value added by industry"	"enps_nama_a10"	"folder"	" "	" "	" "	" "	
"                            Gross value added by industry"	"enps_nama_10_a10"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                    Deficit/surplus and debt"	"enps_gov"	"folder"	" "	" "	" "	" "	
"                        Government deficit/surplus and debt"	"enps_gov_10dd"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Total economy deficit/surplus"	"enps_gov_10dde"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Gross external debt of the whole economy"	"enps_bop_iip6"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                    Exchange rates"	"enps_ert"	"folder"	" "	" "	" "	" "	
"                        Euro/ECU exchange rates - annual data"	"ert_bil_eur_a"	"dataset"	"08.03.2023"	"07.03.2023"	"1971"	"2022"	
"                    Consumer price index"	"enps_cp"	"folder"	" "	" "	" "	" "	
"                        Consumer price index"	"enps_cpi"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                    Balance of payments"	"enps_bop"	"folder"	" "	" "	" "	" "	
"                        Balance of payments"	"enps_bop_c6_a"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                Population and social conditions"	"enps_pop"	"folder"	" "	" "	" "	" "	
"                    Population and demographic indicators"	"enps_demo"	"folder"	" "	" "	" "	" "	
"                        Population"	"enps_demo_pop"	"folder"	" "	" "	" "	" "	
"                            Population density"	"enps_demo_dens"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                            Population on 1 January by sex and age group"	"enps_demo_pjangr"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                            Average population mid-year by sex and age group"	"enps_demo_pjangry"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Demographic indicators"	"enps_demo_ind"	"folder"	" "	" "	" "	" "	
"                            Total fertility rate"	"enps_demo_frate1"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                            Crude rate of birth, of dead and of population change"	"enps_demo_gind"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                            Infant mortality rate by sex"	"enps_demo_infant"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                            Under 5 mortality rate by sex"	"enps_demo_under5"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                            Life expectancy at birth by sex"	"enps_demo_mlexpec"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                            Mean age at first marriage by sex"	"enps_demo_nind"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                    Education"	"enps_educ"	"folder"	" "	" "	" "	" "	
"                        Literacy"	"enps_educ_lt"	"folder"	" "	" "	" "	" "	
"                            Literacy rate by sex and age group"	"enps_educ_ltr"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        General education"	"enps_educ_ge"	"folder"	" "	" "	" "	" "	
"                            Number of compulsory schooling years"	"enps_educ_compyr"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                            Net enrolment rates by sex and education level"	"enps_educ_enrate"	"dataset"	"30.03.2023"	"13.03.2023"	"2005"	"2022"	
"                            School completion rate at ISCED 1 level by sex"	"enps_educ_comprate"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                            Gender parity index by education level"	"enps_educ_parity"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                        Expenditure on education"	"enps_educ_fine"	"folder"	" "	" "	" "	" "	
"                            Public expenditure on education"	"enps_educ_figdp"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Educational attainment level"	"enps_edat_lfs"	"folder"	" "	" "	" "	" "	
"                            Population aged 20-24 who completed at least an upper secondary educational attainment level (ISCED 2011 level 3) by sex"	"enps_edat_lfse3"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                            Population aged 25 and over by sex and educational attainment level"	"enps_edat_lfse4"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                    Labour market"	"enps_labour"	"folder"	" "	" "	" "	" "	
"                        Active population"	"enps_lfsa_act"	"folder"	" "	" "	" "	" "	
"                            Activity rates 15-64 years old by sex"	"enps_lfsa_argaed"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                        Employment"	"enps_lfsa_emp"	"folder"	" "	" "	" "	" "	
"                            Total employment by age group"	"enps_lfsa_pganws"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                            Employment rates 15-64 years old by sex"	"enps_lfsa_ergan"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                            Employment by professional status"	"enps_lfsa_egaps"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                        Unemployment"	"enps_lfsa_unemp"	"folder"	" "	" "	" "	" "	
"                            Unemployment rates by sex and age"	"enps_lfsa_urgan"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                    Living conditions"	"enps_livcon"	"folder"	" "	" "	" "	" "	
"                        Income distribution"	"enps_incom"	"folder"	" "	" "	" "	" "	
"                            Income quintile share ratio - S80/S20"	"enps_ilc_di11"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2020"	
"                        Relative poverty"	"enps_pov"	"folder"	" "	" "	" "	" "	
"                            Poverty headcount ratio by sex: proportion of persons below the national poverty line"	"enps_ilc_natln"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2020"	
"                        Access to basic services and housing"	"enps_serv"	"folder"	" "	" "	" "	" "	
"                            Households with access to secure tenure by simplified degree of urbanisation"	"enps_ilc_secure"	"dataset"	"13.03.2023"	"10.02.2022"	"2005"	"2015"	
"                            Households with sustainable access to improved sanitation by simplified degree of urbanisation"	"enps_ilc_sanit"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                Tourism"	"enps_tour"	"folder"	" "	" "	" "	" "	
"                    Tourism infrastructure"	"enps_tour_cap_nat"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                    Arrivals of tourists at the border"	"enps_tour_border"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                    Arrivals at tourism accommodation establishments by type of accommodation"	"enps_tour_occ_arnat"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                    Departures of residents going abroad for all holidays and business"	"enps_tour_dem_tttot"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                    Nights spent at tourism accommodation establishments"	"enps_tour_occ_ninat"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                    Number of bed places in hotels and similar accommodation"	"enps_tour_cap_natb"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                Agriculture and fisheries"	"enps_agrifish"	"folder"	" "	" "	" "	" "	
"                    Agriculture"	"enps_agri"	"folder"	" "	" "	" "	" "	
"                        Total area"	"enps_reg_area3"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                        Main farm land use"	"enps_ef_lus_main"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Crop production"	"enps_apro_cpnh1"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Livestock"	"enps_apro_mt_ls"	"dataset"	"11.04.2023"	"13.03.2023"	"2005"	"2021"	
"                        Meat production"	"enps_apro_mt_p"	"dataset"	"11.04.2023"	"13.03.2023"	"2005"	"2021"	
"                    Fisheries"	"enps_fish"	"folder"	" "	" "	" "	" "	
"                        Fish catches by fishing areas"	"enps_fish_ca_main"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Aquaculture production by aquatic environment"	"enps_fish_aq2a"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                International trade in goods"	"enps_ext"	"folder"	" "	" "	" "	" "	
"                    Trade value in goods by SITC product group"	"enps_ext_sitc"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                Transport"	"enps_tra"	"folder"	" "	" "	" "	" "	
"                    Rail transport"	"enps_rail"	"folder"	" "	" "	" "	" "	
"                        Length of network"	"enps_rail_if"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                        Number of railway vehicles per type"	"enps_rail_eq"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                        Rail passenger traffic"	"enps_rail_pa"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                        Rail freight traffic"	"enps_rail_fr"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                    Road transport"	"enps_road"	"folder"	" "	" "	" "	" "	
"                        Length of roads network"	"enps_road_if"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Stock of vehicles by category"	"enps_road_eqs_car"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Road freight transport"	"enps_road_go"	"dataset"	"13.03.2023"	"19.04.2021"	"2005"	"2018"	
"                        Persons killed in road accidents"	"enps_tran_sf_r"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                    Maritime transport"	"enps_mar"	"folder"	" "	" "	" "	" "	
"                        Number of principal ports"	"enps_mar_por"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                        Number of ships of 300 grt and over"	"enps_mar_eq300"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Number of ships of 1000 grt and over by type"	"enps_mar_eq1000"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Carrying capacity of merchant ships of 1000 grt and over by vessel type"	"enps_mar_eqton"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Passengers embarked and disembarked (excluding cruises) in all ports by direction"	"enps_mar_padir"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Gross weight of goods handled in all ports by direction"	"enps_mar_frdir"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                    Air transport"	"enps_avia"	"folder"	" "	" "	" "	" "	
"                        Number of airports"	"enps_avia_if"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Commercial aircraft fleet by type of aircraft"	"enps_avia_typ"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Air passenger transport"	"enps_avia_pa"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Freight and mail air transport (including national transport)"	"enps_avia_fr"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                Environment and energy"	"enps_envnrg"	"folder"	" "	" "	" "	" "	
"                    Environment"	"enps_env"	"folder"	" "	" "	" "	" "	
"                        Air emissions"	"enps_env_air"	"folder"	" "	" "	" "	" "	
"                            Air pollutants"	"enps_env_air_emis"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Waste"	"enps_env_was"	"folder"	" "	" "	" "	" "	
"                            Generation of waste by households"	"enps_env_wasgenh"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2022"	
"                            Municipal waste generated"	"enps_env_wasgenm"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                            Population served by municipal waste"	"enps_env_wasacc"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                            Municipal waste per inhabitant"	"enps_env_wasgenp"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                            Treatment of municipal waste"	"enps_env_wastrt"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Water"	"enps_env_wat"	"folder"	" "	" "	" "	" "	
"                            Annual freshwater abstraction by source"	"enps_env_wat_abs"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                            Water use by economic activity"	"enps_env_wat_cat"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                            Population connected to public water supply"	"enps_env_wat_cov"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                            Population connected to wastewater collection and treatment systems"	"enps_env_ww_con"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                    Energy"	"enps_nrg"	"folder"	" "	" "	" "	" "	
"                        Energy balance"	"enps_nrg_bal_c"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"                        Final energy consumption by sector"	"enps_nrg_bal_c1"	"dataset"	"13.03.2023"	"13.03.2023"	"2005"	"2021"	
"            Eastern European Neighbourhood Policy countries (ENP-East)"	"enpe"	"folder"	" "	" "	" "	" "	
"                Economy and finance"	"enpe_ecf"	"folder"	" "	" "	" "	" "	
"                    National accounts"	"enpe_na"	"folder"	" "	" "	" "	" "	
"                        GDP, main aggregates and economic indicators"	"enpe_nama_gdp"	"folder"	" "	" "	" "	" "	
"                            Employment growth (domestic concept)"	"enpe_nama_10_pe"	"dataset"	"06.02.2023"	"06.02.2023"	"2006"	"2021"	
"                            Labour productivity in GDP (constant prices) per person employed"	"enpe_nama_10_lp"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                            Nominal unit labour cost growth"	"enpe_nama_10_ulc"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                            Gross domestic product at market prices"	"enpe_nama_10_gdp"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                            Gross domestic product at market prices by expenditure"	"enpe_nama_10_gdp_ea"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Gross value added by industry"	"enpe_nama_a10"	"folder"	" "	" "	" "	" "	
"                            Gross value added by industry"	"enpe_nama_10_a10"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                    Deficit/surplus and debt"	"enpe_gov"	"folder"	" "	" "	" "	" "	
"                        Government deficit/surplus and debt"	"enpe_gov_10dd"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2022"	
"                        Gross external debt of the whole economy"	"enpe_bop_iip6"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2022"	
"                        Gross external debt of the whole economy, relative to exports of goods and services"	"enpe_bop_iip6_serv"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2022"	
"                    Interest and exchange rates"	"enpe_ert"	"folder"	" "	" "	" "	" "	
"                        Government bond yields - 10 years' maturity"	"enpe_irt_lt_gby10"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2022"	
"                        Loan and deposit one year interest rate"	"enpe_irt_ld"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2022"	
"                        Money market interest rates"	"enpe_irt_st"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2022"	
"                        Euro/ECU exchange rates - annual data"	"ert_bil_eur_a"	"dataset"	"08.03.2023"	"07.03.2023"	"1971"	"2022"	
"                    Money supply and official reserves"	"enpe_mon"	"folder"	" "	" "	" "	" "	
"                        Money supply and official reserves"	"enpe_mon_res"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2022"	
"                    Consumer price index"	"enpe_cp"	"folder"	" "	" "	" "	" "	
"                        Consumer price index"	"enpe_cpi"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                    Balance of payments"	"enpe_bop"	"folder"	" "	" "	" "	" "	
"                        Balance of payments"	"enpe_bop_c6_a"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2022"	
"                Population and social conditions"	"enpe_pop"	"folder"	" "	" "	" "	" "	
"                    Education"	"enpe_educ"	"folder"	" "	" "	" "	" "	
"                        Participation in education"	"enpe_educ_part"	"folder"	" "	" "	" "	" "	
"                            Pupils and students enrolled by education level"	"enpe_educ_uoe_enra02"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2022"	
"                        Expenditure on education"	"enpe_educ_fine"	"folder"	" "	" "	" "	" "	
"                            Public expenditure on education"	"enpe_educ_figdp"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Educational attainment level"	"enpe_edat_lfs"	"folder"	" "	" "	" "	" "	
"                            Population aged 30-34 who completed tertiary or equivalent education"	"enpe_edat_lfse_03"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Early leavers from education and training"	"enpe_edatt"	"folder"	" "	" "	" "	" "	
"                            Early leavers from education and training aged 18-24 by sex"	"enpe_edat_lfse_14"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                    Labour market"	"enpe_labour"	"folder"	" "	" "	" "	" "	
"                        Active population"	"enpe_lfsa_act"	"folder"	" "	" "	" "	" "	
"                            Activity rates by sex and age"	"enpe_lfsa_argaed"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Employment"	"enpe_lfsa_emp"	"folder"	" "	" "	" "	" "	
"                            Employment and employment rates 20-64 years old by sex"	"enpe_lfsa_ergan"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Unemployment"	"enpe_lfsa_unemp"	"folder"	" "	" "	" "	" "	
"                            Unemployment rates by sex and age"	"enpe_lfsa_urgan"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                            Long-term unemployment rates by sex"	"enpe_lfsa_urgan2"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Wages and salaries"	"enpe_wgs"	"folder"	" "	" "	" "	" "	
"                            Average nominal monthly wages and salaries"	"enpe_wg_m"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                    Living conditions"	"enpe_livcon"	"folder"	" "	" "	" "	" "	
"                        Income distribution"	"enpe_incom"	"folder"	" "	" "	" "	" "	
"                            Income quintile share ratio - S80/S20"	"enpe_ilc_di11"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Relative poverty"	"enpe_pov"	"folder"	" "	" "	" "	" "	
"                            Proportion of persons at risk of relative poverty, before social transfers by sex"	"enpe_ilc_li09"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                            Relative poverty threshold after social transfers, income per month"	"enpe_ilc_li01"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Social and health expenditure"	"enpe_sh_exp"	"folder"	" "	" "	" "	" "	
"                            Social protection expenditure excluding administrative costs (including health expenditure) as a share of GDP"	"enpe_spr_exp"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                            Health care expenditure as a share of GDP"	"enpe_hlth_exp"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2020"	
"                Industry, trade and services"	"enpe_ints"	"folder"	" "	" "	" "	" "	
"                    Short-term business statistics"	"enpe_sts"	"folder"	" "	" "	" "	" "	
"                        Industrial and construction production volume index, calendar adjusted"	"enpe_sts_incopr"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Domestic industrial production price index"	"enpe_sts_inppd"	"dataset"	"06.02.2023"	"06.02.2023"	"2010"	"2021"	
"                        Services turnover index, calendar adjusted"	"enpe_sts_trtu"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Retail trade volume of sales index (deflated turnover)"	"enpe_sts_trtu1"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                    Tourism"	"enpe_tour"	"folder"	" "	" "	" "	" "	
"                        Number of bed places in hotels and similar accomodation"	"enpe_tour_cap_nat"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Arrivals of non-residents at hotels and similar accomodation establishments"	"enpe_tour_occ_arnat"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Departures of residents going abroad for all holidays and business"	"enpe_tour_dem_tttot"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                Agriculture and fisheries"	"enpe_agrifish"	"folder"	" "	" "	" "	" "	
"                    Agriculture"	"enpe_agri"	"folder"	" "	" "	" "	" "	
"                        Total area"	"enpe_reg_area3"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Main farm land use"	"enpe_ef_lus_main"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2022"	
"                        Livestock"	"enpe_apro_mt_ls"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Meat production"	"enpe_apro_mt_p"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Crop production"	"enpe_apro_cpnh1"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                    Fisheries"	"enpe_fish"	"folder"	" "	" "	" "	" "	
"                        Fish catches"	"enpe_fish_ca_main"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                International trade"	"enpe_ext"	"folder"	" "	" "	" "	" "	
"                    European Neighbourhood Policy East Countries trade in goods by SITC product group"	"enpe_ext_sitc"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2022"	
"                    Trade balance"	"enpe_ext_bal"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2022"	
"                    Share of European Neighbourhood Policy East Countries in European Union 27 trade"	"enpe_ext_intro"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2022"	
"                Transport"	"enpe_tra"	"folder"	" "	" "	" "	" "	
"                    Rail transport"	"enpe_rail"	"folder"	" "	" "	" "	" "	
"                        Length of lines"	"enpe_rail_if"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Goods transported"	"enpe_rail_go"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                    Road transport"	"enpe_road"	"folder"	" "	" "	" "	" "	
"                        Length of roads network"	"enpe_road_if"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Passenger cars"	"enpe_road_eqs_car"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Passenger road transport"	"enpe_road_pa"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                        Road freight transport"	"enpe_road_go"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                    Maritime transport"	"enpe_mar"	"folder"	" "	" "	" "	" "	
"                        Gross weight of goods handled"	"enpe_mar_go"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                Research and development, digital society"	"enpe_sci"	"folder"	" "	" "	" "	" "	
"                    R&D expenditure"	"enpe_rd"	"folder"	" "	" "	" "	" "	
"                        Gross domestic expenditure on R&D (GERD)"	"enpe_rd_e_gerdfund"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2021"	
"                    Digital society"	"enpe_isoc"	"folder"	" "	" "	" "	" "	
"                        Percentage of households having internet access at home"	"enpe_isoc_ci_in_h"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2022"	
"                        Frequency of internet use by individuals aged 16-74"	"enpe_isoc_ci_ifp_fu"	"dataset"	"06.02.2023"	"06.02.2023"	"2005"	"2022"	
"            Non EU countries - historical data"	"noneu_h"	"folder"	" "	" "	" "	" "	
"                Southern European Neighbourhood Policy countries (ENP-South) - historical data"	"med"	"folder"	" "	" "	" "	" "	
"                    Economy and finance"	"med_ec"	"folder"	" "	" "	" "	" "	
"                        Gross domestic product"	"med_ec1"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2018"	
"                        Final consumption expenditure"	"med_ec2"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2018"	
"                        Gross capital formation"	"med_ec3"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2018"	
"                        International trade as a share of GDP"	"med_ec4"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2018"	
"                        Gross value added"	"med_ec5"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2018"	
"                        Balancing items"	"med_ec6"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2018"	
"                        Debts"	"med_ec7"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2018"	
"                        Prices (annual series)"	"med_ec8"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2019"	
"                        Exchange rates"	"med_ec9"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2019"	
"                        Balance of payments"	"med_ecbp"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2018"	
"                        International trade by SITC - 1 000 EUR"	"med_ecet"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2019"	
"                        Additional indicators"	"med_ec0"	"dataset"	"28.10.2016"	"08.02.2021"	"2000"	"2015"	
"                    Population and social conditions"	"med_ps"	"folder"	" "	" "	" "	" "	
"                        General indicators"	"med_ps111"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2019"	
"                        Population on 1 January by sex and by age group"	"med_ps112"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2019"	
"                        Average population (mid-year)"	"med_ps115"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2018"	
"                        Demographic indicators"	"med_ps12"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2019"	
"                        Literacy"	"med_ps21"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2018"	
"                        General education"	"med_ps22"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2019"	
"                        Higher education"	"med_ps23"	"dataset"	"28.10.2016"	"08.02.2021"	"2000"	"2015"	
"                        Quality of education"	"med_ps24"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2018"	
"                        Technical and vocational education training (TVET)"	"med_ps25"	"dataset"	"08.12.2014"	"08.02.2021"	"2000"	"2010"	
"                        Public expenditure on education"	"med_ps26"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2018"	
"                        Poverty lines"	"med_ps311"	"dataset"	"29.08.2016"	"08.02.2021"	"2000"	"2014"	
"                        At-risk-of poverty rate"	"med_ps312"	"dataset"	"08.12.2014"	"08.02.2021"	"2000"	"2010"	
"                        Poverty ratio"	"med_ps313"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2018"	
"                        Access to basic services and housing"	"med_ps32"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2018"	
"                        Communication"	"med_ps33"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2018"	
"                        Employment"	"med_ps411"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2019"	
"                        Economic activity"	"med_ps412"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2019"	
"                        Employment characteristics"	"med_ps413"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2019"	
"                        Employment and economic activity branches"	"med_ps414"	"dataset"	"28.05.2020"	"08.02.2021"	"2005"	"2019"	
